"tvhours","marital"
1,"NEVER MARRIED"
4,"MARRIED"
3,"SEPARATED"
4,"WIDOWED"
3,"MARRIED"
6,"DIVORCED"
2,"NEVER MARRIED"
2,"DIVORCED"
2,"NEVER MARRIED"
2,"MARRIED"
3,"DIVORCED"
5,"NEVER MARRIED"
3,"MARRIED"
0,"MARRIED"
2,"MARRIED"
2,"NEVER MARRIED"
8,"MARRIED"
4,"WIDOWED"
2,"SEPARATED"
4,"DIVORCED"
1,"MARRIED"
3,"MARRIED"
5,"DIVORCED"
16,"NEVER MARRIED"
1,"NEVER MARRIED"
2,"NEVER MARRIED"
2,"DIVORCED"
2,"DIVORCED"
2,"MARRIED"
4,"MARRIED"
2,"DIVORCED"
1,"MARRIED"
1,"MARRIED"
2,"NEVER MARRIED"
0,"MARRIED"
24,"DIVORCED"
0,"MARRIED"
5,"WIDOWED"
7,"WIDOWED"
5,"MARRIED"
7,"DIVORCED"
3,"NEVER MARRIED"
0,"NEVER MARRIED"
3,"NEVER MARRIED"
1,"WIDOWED"
0,"MARRIED"
1,"MARRIED"
6,"MARRIED"
2,"MARRIED"
2,"MARRIED"
7,"NEVER MARRIED"
2,"SEPARATED"
2,"MARRIED"
2,"NEVER MARRIED"
4,"NEVER MARRIED"
5,"MARRIED"
1,"MARRIED"
4,"NEVER MARRIED"
0,"MARRIED"
1,"SEPARATED"
10,"DIVORCED"
2,"NEVER MARRIED"
1,"DIVORCED"
2,"NEVER MARRIED"
2,"DIVORCED"
4,"NEVER MARRIED"
5,"NEVER MARRIED"
2,"NEVER MARRIED"
2,"DIVORCED"
4,"DIVORCED"
2,"NEVER MARRIED"
2,"MARRIED"
4,"NEVER MARRIED"
3,"DIVORCED"
3,"MARRIED"
1,"MARRIED"
3,"WIDOWED"
1,"MARRIED"
1,"NEVER MARRIED"
4,"DIVORCED"
4,"SEPARATED"
1,"MARRIED"
1,"NEVER MARRIED"
1,"MARRIED"
1,"MARRIED"
2,"DIVORCED"
2,"NEVER MARRIED"
9,"NEVER MARRIED"
1,"MARRIED"
3,"DIVORCED"
3,"NEVER MARRIED"
3,"DIVORCED"
7,"NEVER MARRIED"
2,"MARRIED"
4,"NEVER MARRIED"
3,"SEPARATED"
2,"NEVER MARRIED"
2,"NEVER MARRIED"
1,"MARRIED"
0,"WIDOWED"
2,"NEVER MARRIED"
4,"NEVER MARRIED"
2,"SEPARATED"
2,"MARRIED"
3,"NEVER MARRIED"
1,"NEVER MARRIED"
1,"NEVER MARRIED"
1,"WIDOWED"
1,"NEVER MARRIED"
3,"NEVER MARRIED"
3,"NEVER MARRIED"
1,"NEVER MARRIED"
1,"NEVER MARRIED"
1,"MARRIED"
3,"MARRIED"
1,"MARRIED"
1,"NEVER MARRIED"
1,"MARRIED"
2,"MARRIED"
2,"MARRIED"
4,"MARRIED"
2,"NEVER MARRIED"
4,"MARRIED"
3,"MARRIED"
4,"WIDOWED"
2,"NEVER MARRIED"
1,"NEVER MARRIED"
2,"DIVORCED"
